date,inflation.input,exp.input,inflation.pcepilfe,inflation.bpccr,exp.ar3.pcepilfe,exp.ar3.bpccr
1959-01-01,2.723887422652197,2.6217576583281175,,,,
1959-04-01,2.1341612031851245,2.532854624900056,2.1341612031850588,,,
1959-07-01,2.658156747102966,2.129966665333348,2.6666481442566337,,,
1959-10-01,2.311484444741492,2.2327131721546314,2.2861075733146663,,,
1960-01-01,1.2391348616682092,1.8751453840287335,1.2644366931318984,2.1,,
1960-04-01,1.5120985748814426,2.0667339676553196,1.5120668193702613,1.9,,
1960-07-01,1.5815754749814934,2.26688278455106,1.5648391836506903,1.7,,
1960-10-01,1.3007328077653575,2.0711666861515705,1.3090844974168903,1.4,,
1961-01-01,0.6737158886590708,1.6562274107315986,0.6820262818447276,1.3,,
1961-04-01,1.3191885265144017,1.595692241803134,1.3108781333286856,1.2,,
1961-07-01,1.7356833581508055,1.6367810376692533,1.7356833581507303,1.3,,
1961-10-01,0.9637665676256225,1.5074936524028466,0.9555390775242145,1.2,,
1962-01-01,1.4781982824199247,1.5620451406935054,1.4782286312740922,1.4,,
1962-04-01,1.5217543051840854,1.530534587987068,1.5381172948123023,1.4,,
1962-07-01,1.3206982343466696,1.5210341128639344,1.3125323859657811,1.3,,
1962-10-01,0.7562130625552614,1.4046339850883318,0.7480893382336262,1.3,,
1963-01-01,1.3138697944252646,1.4926911855312388,1.321993518747,1.2,,
1963-04-01,1.5032142797418506,1.55278917125234,1.5112808287716106,1.2,,
1963-07-01,1.5458022981737622,1.5724426739734427,1.537735749143998,1.3,,
1963-10-01,1.9238899590684473,1.658698783226682,1.9238899590684255,1.6,,
1964-01-01,1.6997362261507605,1.6202853512059687,1.6917730954455479,1.7,,
1964-04-01,1.192677847069158,1.5019759807796655,1.184761975767401,1.6,,
1964-07-01,1.0941316211236471,1.4990114388156706,1.1100106231305418,1.5,,
1964-10-01,1.0200758723503798,1.513231451027656,1.0200758723504677,1.3,,
1965-01-01,1.5134514064712352,1.6709951862678891,1.5055836632347663,1.2,,
1965-04-01,1.225476714159123,1.6443810089704716,1.241187979137237,1.2,,
1965-07-01,1.2451920425325316,1.6347991684100958,1.2373485207909596,1.3,,
1965-10-01,1.334856775819105,1.6551530681236415,1.3270635306140477,1.3,,
1966-01-01,2.005601216687151,1.8014716383086,1.9978857770265535,1.5,,
1966-04-01,3.220498731169416,2.041547526238757,3.2436993539228354,2.0,,
1966-07-01,3.2863360288283365,2.062942017186965,3.286273092590619,2.5,,
1966-10-01,3.441126478206559,2.0737030287045477,3.4410611294228843,3.0,,
1967-01-01,2.19501017538028,1.8474144924525486,2.194968783705775,3.1,,
1967-04-01,2.6764979391308534,1.9173530761240123,2.6689756779388674,2.9,,
1967-07-01,3.6150873681066584,2.129362838003434,3.6150873681068063,3.0,,
1967-10-01,4.022800110591609,2.2869544564004745,4.015469202566813,3.2,,
1968-01-01,4.526741037589472,2.4472824141105662,4.534071945614215,3.8,,
1968-04-01,4.626578440941069,2.7210738062777953,4.6265784409410315,4.3,,
1968-07-01,4.446152761366902,3.181423482737128,4.4461527613668395,4.5,,
1968-10-01,4.62848267854268,3.7281909884523703,4.628482678542767,4.7,,
1969-01-01,4.346960231337235,4.415343349368157,4.346960231337249,4.6,,
1969-04-01,4.7523674877429185,4.742240017426262,4.759214164965009,4.6,4.3836279054751,
1969-07-01,4.59505219106167,4.600770295260395,4.588205513839405,4.7,5.017069889035879,
1969-10-01,4.663304476193937,4.851545704629729,4.6699945022016465,4.7,4.702233612302706,
1970-01-01,4.351557463480278,4.576371022859467,4.331631827061599,4.7,4.872040275873894,4.796268279619756
1970-04-01,4.481452497408952,4.636177479384311,4.501232021571333,4.6,4.425918877647698,4.859016924308686
1970-07-01,4.431799733830069,4.563635496918885,4.425255820078711,4.6,4.613187205545955,4.574603391834597
1970-10-01,5.591260845020237,5.51678987460642,5.578496584947423,4.8,4.47855117896968,4.753309574550581
1971-01-01,5.022897051872422,5.100829878411902,5.035661311945283,5.0,5.706205876714065,5.176202330206746
1971-04-01,4.53086883243213,5.109721849416275,4.5371001870508465,5.0,5.134879748954882,5.286331129490833
1971-07-01,3.7585168149211063,4.392089866399052,3.752285460302396,4.8,4.651817634048993,5.047552702926038
1971-10-01,2.2714218142911404,3.4067931645948644,2.2775599374066147,4.0,3.7106246754318013,4.679714854059255
1972-01-01,3.830235667009495,4.068224300736672,3.818017823560993,3.7,1.9291269442880328,2.8837132663689777
1972-04-01,2.6903078011350545,2.6211652268559873,2.696387521467969,3.2,3.7986001083700875,3.9086222274648073
1972-07-01,2.996133491919772,3.265358007560786,2.996133491919828,3.0,3.0775911996197034,2.6772067634181584
1972-10-01,2.5095309739695115,2.6983733419704974,2.5035745600284542,3.1,2.9975591398971693,2.9282804672365117
1973-01-01,2.777912602757771,2.915348660977633,2.7779538257489023,2.8,2.777171263859138,3.341074082732204
1973-04-01,5.41108518294022,4.505348881294201,5.411164663720669,3.5,2.87920070610018,2.54722544867473
1973-07-01,5.2870334927817355,4.771243216636836,5.281350953724306,4.1,4.992570208380012,4.0935632352063065
1973-10-01,5.524902315521631,5.064529406295223,5.530740481251151,4.9,5.064346667210441,4.6833340493503455
1974-01-01,6.808890725555887,5.79922070341202,6.808986595624589,5.9,4.950726104176712,5.726334394220734
1974-04-01,9.812889985103347,8.57823176093375,9.818474198531923,7.1,6.1180643179305445,7.047249795533605
1974-07-01,11.266080426514309,10.902984291351622,11.271377913518954,8.7,10.493245196259991,8.819534025457214
