date,inflation,inflation.expectations.existing,inflation.expectations.ar3
1959-01-01,2.723887422652197,2.6217576583281175,
1959-04-01,2.1341612031851245,2.532854624900056,
1959-07-01,2.658156747102966,2.129966665333348,
1959-10-01,2.311484444741492,2.2327131721546314,
1960-01-01,1.2391348616682092,1.8751453840287335,
1960-04-01,1.5120985748814426,2.0667339676553196,
1960-07-01,1.5815754749814934,2.26688278455106,
1960-10-01,1.3007328077653575,2.0711666861515705,
1961-01-01,0.6737158886590708,1.6562274107315986,
1961-04-01,1.3191885265144017,1.595692241803134,
1961-07-01,1.7356833581508055,1.6367810376692533,
1961-10-01,0.9637665676256225,1.5074936524028466,
1962-01-01,1.4781982824199247,1.5620451406935054,
1962-04-01,1.5217543051840854,1.530534587987068,
1962-07-01,1.3206982343466696,1.5210341128639344,
1962-10-01,0.7562130625552614,1.4046339850883318,
1963-01-01,1.3138697944252646,1.4926911855312388,
1963-04-01,1.5032142797418506,1.55278917125234,
1963-07-01,1.5458022981737622,1.5724426739734427,
1963-10-01,1.9238899590684473,1.658698783226682,
1964-01-01,1.6997362261507605,1.6202853512059687,
1964-04-01,1.192677847069158,1.5019759807796655,
1964-07-01,1.0941316211236471,1.4990114388156706,
1964-10-01,1.0200758723503798,1.513231451027656,
1965-01-01,1.5134514064712352,1.6709951862678891,
1965-04-01,1.225476714159123,1.6443810089704716,
1965-07-01,1.2451920425325316,1.6347991684100958,
1965-10-01,1.334856775819105,1.6551530681236415,
1966-01-01,2.005601216687151,1.8014716383086,
1966-04-01,3.220498731169416,2.041547526238757,
1966-07-01,3.2863360288283365,2.062942017186965,
1966-10-01,3.441126478206559,2.0737030287045477,
1967-01-01,2.19501017538028,1.8474144924525486,
1967-04-01,2.6764979391308534,1.9173530761240123,
1967-07-01,3.6150873681066584,2.129362838003434,
1967-10-01,4.022800110591609,2.2869544564004745,
1968-01-01,4.526741037589472,2.4472824141105662,
1968-04-01,4.626578440941069,2.7210738062777953,
1968-07-01,4.446152761366902,3.181423482737128,
1968-10-01,4.62848267854268,3.7281909884523703,
1969-01-01,4.346960231337235,4.415343349368157,4.756600925458004
1969-04-01,4.7523674877429185,4.742240017426262,4.388092551710965
1969-07-01,4.59505219106167,4.600770295260395,5.016022948467859
1969-10-01,4.663304476193937,4.851545704629729,4.712600835367578
1970-01-01,4.351557463480278,4.576371022859467,4.867476595665443
1970-04-01,4.481452497408952,4.636177479384311,4.4498516474111245
1970-07-01,4.431799733830069,4.563635496918885,4.595675627682821
1970-10-01,5.591260845020237,5.51678987460642,4.489361802843698
1971-01-01,5.022897051872422,5.100829878411902,5.730487538437851
1971-04-01,4.53086883243213,5.109721849416275,5.11928422313898
1971-07-01,3.7585168149211063,4.392089866399052,4.652060915847548
1971-10-01,2.2714218142911404,3.4067931645948644,3.7201736791693976
1972-01-01,3.830235667009495,4.068224300736672,1.9233416143889612
1972-04-01,2.6903078011350545,2.6211652268559873,3.813256340147326
1972-07-01,2.996133491919772,3.265358007560786,3.077740894363718
1972-10-01,2.5095309739695115,2.6983733419704974,2.9978489907470274
1973-01-01,2.777912602757771,2.915348660977633,2.7834941865159717
1973-04-01,5.41108518294022,4.505348881294201,2.8796013762992727
1973-07-01,5.2870334927817355,4.771243216636836,4.979479458024714
1973-10-01,5.524902315521631,5.064529406295223,5.068804402960128
1974-01-01,6.808890725555887,5.79922070341202,4.950843428246786
1974-04-01,9.812889985103347,8.57823176093375,6.1174874872494
1974-07-01,11.266080426514309,10.902984291351622,10.477402107284117
1974-10-01,9.656426396908275,9.513276547311438,12.780779857869947
1975-01-01,7.743366712710236,7.162937333213339,8.347540928882154
1975-04-01,6.040585952569588,5.662163318926421,5.725162076365558
1975-07-01,5.965486099570808,5.687119921842534,4.501054127790564
1975-10-01,6.459431091701131,5.924316288987398,5.433245749645857
1976-01-01,6.042040652490015,5.495446449979728,6.034212650837247
1976-04-01,4.765941182501366,4.588992787818287,5.507623219462941
1976-07-01,6.2164693322383595,6.02756713646192,4.5663155961002
1976-10-01,6.203602573515524,5.762705060947518,6.1992535237808095
1977-01-01,6.675545379833767,6.10123323252346,5.822478122801407
1977-04-01,6.074914382324941,5.605267389430317,6.206419075601416
1977-07-01,6.598440788451038,6.074769553482746,5.586097684716685
1977-10-01,5.770983078681808,5.458082947785812,6.178035655312197
1978-01-01,6.1963263362468535,5.83585085494792,5.423847541868937
1978-04-01,6.837773343720016,6.36070399093838,5.919673617260739
1978-07-01,6.808622442907344,6.225104058212618,6.472491218183542
1978-10-01,7.116156108926849,6.41863309953417,6.28840871017179
1979-01-01,5.427459239760306,5.177266513292492,6.554832911134849
1979-04-01,8.691653592649235,7.760668009004107,5.107899339750607
1979-07-01,7.32212127626352,6.720698928835479,7.819462150388562
1979-10-01,8.253535265769338,7.115307772152168,6.881366941350806
1980-01-01,9.671480195207236,8.248280637299496,7.117589316083278
1980-04-01,8.846099465834419,7.610520148184352,8.612187792568633
1980-07-01,8.811277604022903,7.429934790687213,7.84432726125934
1980-10-01,9.631317019406376,8.376099708263316,7.729019577474755
1981-01-01,8.767419059496271,7.835953268340239,8.6827625270023
1981-04-01,7.494942604337594,6.829388980648279,8.077245871817793
1981-07-01,7.299454944904832,6.82249243560892,7.076802950065306
1981-10-01,7.045955907758613,6.825978707527701,7.127666158646779
1982-01-01,5.818591056880105,6.002931001432131,7.070942163349714
1982-04-01,5.377393714884013,5.781690947459119,6.544633122408769
1982-07-01,6.355265364689257,6.709971563868861,6.576408208191272
1982-10-01,5.534899538599214,6.426911329540605,7.015452140690942
