date,exp.model,inflation.pcepilfe,exp.spf.cpi1y,exp.spf.cpi10y,exp.ar4.pcepilfe
1959-01-01,2.6217576583281175,,,,
1959-04-01,2.532854624900056,2.1341612031850588,,,
1959-07-01,2.129966665333348,2.6666481442566337,,,
1959-10-01,2.2327131721546314,2.2861075733146663,,,
1960-01-01,1.8751453840287335,1.2644366931318984,,,
1960-04-01,2.0667339676553196,1.5120668193702613,,,
1960-07-01,2.26688278455106,1.5648391836506903,,,
1960-10-01,2.0711666861515705,1.3090844974168903,,,
1961-01-01,1.6562274107315986,0.6820262818447276,,,
1961-04-01,1.595692241803134,1.3108781333286856,,,
1961-07-01,1.6367810376692533,1.7356833581507303,,,
1961-10-01,1.5074936524028466,0.9555390775242145,,,
1962-01-01,1.5620451406935054,1.4782286312740922,,,
1962-04-01,1.530534587987068,1.5381172948123023,,,
1962-07-01,1.5210341128639344,1.3125323859657811,,,
1962-10-01,1.4046339850883318,0.7480893382336262,,,
1963-01-01,1.4926911855312388,1.321993518747,,,
1963-04-01,1.55278917125234,1.5112808287716106,,,
1963-07-01,1.5724426739734427,1.537735749143998,,,
1963-10-01,1.658698783226682,1.9238899590684255,,,
1964-01-01,1.6202853512059687,1.6917730954455479,,,
1964-04-01,1.5019759807796655,1.184761975767401,,,
1964-07-01,1.4990114388156706,1.1100106231305418,,,
1964-10-01,1.513231451027656,1.0200758723504677,,,
1965-01-01,1.6709951862678891,1.5055836632347663,,,
1965-04-01,1.6443810089704716,1.241187979137237,,,
1965-07-01,1.6347991684100958,1.2373485207909596,,,
1965-10-01,1.6551530681236415,1.3270635306140477,,,
1966-01-01,1.8014716383086,1.9978857770265535,,,
1966-04-01,2.041547526238757,3.2436993539228354,,,
1966-07-01,2.062942017186965,3.286273092590619,,,
1966-10-01,2.0737030287045477,3.4410611294228843,,,
1967-01-01,1.8474144924525486,2.194968783705775,,,
1967-04-01,1.9173530761240123,2.6689756779388674,,,
1967-07-01,2.129362838003434,3.6150873681068063,,,
1967-10-01,2.2869544564004745,4.015469202566813,,,
1968-01-01,2.4472824141105662,4.534071945614215,,,
1968-04-01,2.7210738062777953,4.6265784409410315,,,
1968-07-01,3.181423482737128,4.4461527613668395,,,
1968-10-01,3.7281909884523703,4.628482678542767,,,
1969-01-01,4.415343349368157,4.346960231337249,,,
1969-04-01,4.742240017426262,4.759214164965009,,,4.670786868759546
1969-07-01,4.600770295260395,4.588205513839405,,,5.135799697631279
1969-10-01,4.851545704629729,4.6699945022016465,,,4.875056450615823
1970-01-01,4.576371022859467,4.331631827061599,,,4.970446820138622
1970-04-01,4.636177479384311,4.501232021571333,,,4.641051646053535
1970-07-01,4.563635496918885,4.425255820078711,,,4.754020194732795
1970-10-01,5.51678987460642,5.578496584947423,,,4.632846919958686
1971-01-01,5.100829878411902,5.035661311945283,,,5.647948445261291
1971-04-01,5.109721849416275,4.5371001870508465,,,5.151999858222791
1971-07-01,4.392089866399052,3.752285460302396,,,4.739488050261912
1971-10-01,3.4067931645948644,2.2775599374066147,,,4.547694297494138
1972-01-01,4.068224300736672,3.818017823560993,,,2.593743164789882
1972-04-01,2.6211652268559873,2.696387521467969,,,4.2353973100061975
1972-07-01,3.265358007560786,2.996133491919828,,,3.267259734947369
1972-10-01,2.6983733419704974,2.5035745600284542,,,2.909028100702421
1973-01-01,2.915348660977633,2.7779538257489023,,,2.967528199702566
1973-04-01,4.505348881294201,5.411164663720669,,,2.9179206981307386
1973-07-01,4.771243216636836,5.281350953724306,,,4.899510396485055
1973-10-01,5.064529406295223,5.530740481251151,,,4.773644277040589
1974-01-01,5.79922070341202,6.808986595624589,,,4.717320913725182
1974-04-01,8.57823176093375,9.818474198531923,,,6.051333493403025
1974-07-01,10.902984291351622,11.271377913518954,,,10.198628653873634
1974-10-01,9.513276547311438,9.656300042058596,,,12.546878308576037
1975-01-01,7.162937333213339,7.738195580555285,,,8.144392475757464
1975-04-01,5.662163318926421,6.050577834166404,,,6.353520924315684
1975-07-01,5.687119921842534,5.955494217974078,,,5.362437879199261
1975-10-01,5.924316288987398,6.464274263736591,,,6.069425789411319
1976-01-01,5.495446449979728,6.032426857947826,,,6.492844694811874
1976-04-01,4.588992787818287,4.770711805008077,,,5.6071243050298
1976-07-01,6.02756713646192,6.216469332238361,,,4.5848165156399565
1976-10-01,5.762705060947518,6.212742401458549,,,6.246108273028476
1977-01-01,6.10123323252346,6.675394113945821,,,5.895632519750611
1977-04-01,5.605267389430317,6.065925820269769,,,6.131976942855813
1977-07-01,6.074769553482746,6.598440788451043,,,5.641088121747222
1977-10-01,5.458082947785812,5.770983078681802,,,6.239808792259673
1978-01-01,5.83585085494792,6.192100485662344,,,5.526220741171276
1978-04-01,6.36070399093838,6.841999194304371,,,5.983907574291907
1978-07-01,6.225104058212618,6.80453833061474,,,6.561007696112149
1978-10-01,6.41863309953417,7.11622812474868,,,6.290841785604136
1979-01-01,5.177266513292492,5.4275133110877505,,,6.5738088809832345
1979-04-01,7.760668009004107,8.699484528236567,,,5.229211229903861
1979-07-01,6.720698928835479,7.314445668756697,,,7.9021758688030435
1979-10-01,7.115307772152168,8.257337962832345,,,6.97977282483213
1980-01-01,8.248280637299496,9.667844145593207,,,6.9802077019303645
1980-04-01,7.610520148184352,8.849735515448387,,,8.65781101972351
1980-07-01,7.429934790687213,8.807798571715608,,,7.8633536695017066
1980-10-01,8.376099708263316,9.628003496354154,,,7.736564397127156
1981-01-01,7.835953268340239,8.777534218946847,,,8.565277348808696
