date,exp.model,exp.arima101,exp.arima101.override,spf.cpi1y
1959-04-01,2.532854624900056,,,
1959-07-01,2.129966665333348,,,
1959-10-01,2.2327131721546314,,,
1960-01-01,1.8751453840287335,,,
1960-04-01,2.0667339676553196,,,
1960-07-01,2.26688278455106,,,
1960-10-01,2.0711666861515705,,,
1961-01-01,1.6562274107315986,,,
1961-04-01,1.595692241803134,,,
1961-07-01,1.6367810376692533,,,
1961-10-01,1.5074936524028466,,,
1962-01-01,1.5620451406935054,,,
1962-04-01,1.530534587987068,,,
1962-07-01,1.5210341128639344,,,
1962-10-01,1.4046339850883318,,,
1963-01-01,1.4926911855312388,,,
1963-04-01,1.55278917125234,,,
1963-07-01,1.5724426739734427,,,
1963-10-01,1.658698783226682,,,
1964-01-01,1.6202853512059687,,,
1964-04-01,1.5019759807796655,,,
1964-07-01,1.4990114388156706,,,
1964-10-01,1.513231451027656,,,
1965-01-01,1.6709951862678891,,,
1965-04-01,1.6443810089704716,,,
1965-07-01,1.6347991684100958,,,
1965-10-01,1.6551530681236415,,,
1966-01-01,1.8014716383086,,,
1966-04-01,2.041547526238757,,,
1966-07-01,2.062942017186965,,,
1966-10-01,2.0737030287045477,,,
1967-01-01,1.8474144924525486,,,
1967-04-01,1.9173530761240123,,,
1967-07-01,2.129362838003434,,,
1967-10-01,2.2869544564004745,,,
1968-01-01,2.4472824141105662,,,
1968-04-01,2.7210738062777953,,,
1968-07-01,3.181423482737128,,,
1968-10-01,3.7281909884523703,,,
1969-01-01,4.415343349368157,,,
1969-04-01,4.742240017426262,3.887030374206792,3.887030374206792,
1969-07-01,4.600770295260395,4.439881262067425,4.439881262067425,
1969-10-01,4.851545704629729,4.268958405754654,4.268958405754654,
1970-01-01,4.576371022859467,4.404350541643286,4.404350541643286,
1970-04-01,4.636177479384311,4.061564089840435,4.061564089840435,
1970-07-01,4.563635496918885,4.263133127390345,4.263133127390345,
1970-10-01,5.51678987460642,4.200553678760062,4.200553678760062,
1971-01-01,5.100829878411902,5.38934729481311,5.38934729481311,
1971-04-01,5.109721849416275,4.852115966887011,4.852115966887011,
1971-07-01,4.392089866399052,4.304306691521951,4.304306691521951,
1971-10-01,3.4067931645948644,3.526323311350472,3.526323311350472,
1972-01-01,4.068224300736672,2.1498526845160533,2.1498526845160533,
1972-04-01,2.6211652268559873,3.627000914668073,3.627000914668073,
1972-07-01,3.265358007560786,2.772915716603433,2.772915716603433,
1972-10-01,2.6983733419704974,2.9101349638730087,2.9101349638730087,
1973-01-01,2.915348660977633,2.583797836667723,2.583797836667723,
1973-04-01,4.505348881294201,2.7610213129995977,2.7610213129995977,
1973-07-01,4.771243216636836,4.694179877233907,4.694179877233907,
1973-10-01,5.064529406295223,4.73217990388485,4.73217990388485,
1974-01-01,5.79922070341202,4.9719251856098445,4.9719251856098445,
1974-04-01,8.57823176093375,6.160556812107697,6.160556812107697,
1974-07-01,10.902984291351622,9.345324630851758,9.345324630851758,
1974-10-01,9.513276547311438,10.823044986241205,10.823044986241205,
1975-01-01,7.162937333213339,8.337573024153722,8.337573024153722,
1975-04-01,5.662163318926421,6.490389537157897,6.490389537157897,
1975-07-01,5.687119921842534,5.209855755490067,5.209855755490067,
1975-10-01,5.924316288987398,5.48088194277991,5.48088194277991,
1976-01-01,5.495446449979728,5.889491108815785,5.889491108815785,
1976-04-01,4.588992787818287,5.4543767997861,5.4543767997861,
1976-07-01,6.02756713646192,4.551198332312885,4.551198332312885,
1976-10-01,5.762705060947518,6.014458883749948,6.014458883749948,
1977-01-01,6.10123323252346,5.601351048542916,5.601351048542916,
1977-04-01,5.605267389430317,6.124933901377051,6.124933901377051,
1977-07-01,6.074769553482746,5.5701459858005045,5.5701459858005045,
1977-10-01,5.458082947785812,6.154001294630197,6.154001294630197,
1978-01-01,5.83585085494792,5.446916297582106,5.446916297582106,
1978-04-01,6.36070399093838,5.93083397731059,5.93083397731059,
1978-07-01,6.225104058212618,6.32802234074797,6.32802234074797,
1978-10-01,6.41863309953417,6.244874902601232,6.244874902601232,
1979-01-01,5.177266513292492,6.523698051075555,6.523698051075555,
1979-04-01,7.760668009004107,5.249344115335086,5.249344115335086,
1979-07-01,6.720698928835479,7.674468311668365,7.674468311668365,
1979-10-01,7.115307772152168,6.5982269918666745,6.5982269918666745,
1980-01-01,8.248280637299496,7.308925287502656,7.308925287502656,
1980-04-01,7.610520148184352,8.356126066663666,8.356126066663666,
1980-07-01,7.429934790687213,7.796179982429441,7.796179982429441,
1980-10-01,8.376099708263316,7.868097956219765,7.868097956219765,
1981-01-01,7.835953268340239,8.53696013775055,8.53696013775055,
1981-04-01,6.829388980648279,7.9437960758112585,7.9437960758112585,
1981-07-01,6.82249243560892,7.041264654858135,7.041264654858135,7.8249
1981-10-01,6.825978707527701,6.91785157171381,6.91785157171381,7.6998
1982-01-01,6.002931001432131,6.804463973145182,6.804463973145182,6.6248
1982-04-01,5.781690947459119,5.954439215980739,5.954439215980739,6.0374
1982-07-01,6.709971563868861,5.847092832818506,5.847092832818506,5.9749
1982-10-01,6.426911329540605,6.557021370094464,6.557021370094464,5.4994
1983-01-01,6.121103930555058,6.0750020643885,6.0750020643885,4.5245
1983-04-01,5.214692021257929,6.202966258439852,6.202966258439852,4.7248
1983-07-01,6.834961208089878,4.862572849592263,4.862572849592263,4.5375
1983-10-01,6.018599596401835,6.675057883193285,6.675057883193285,5.1498
1984-01-01,5.540639296837617,5.02404758813962,5.02404758813962,4.8121
1984-04-01,6.662721143102612,4.756408125479233,4.756408125479233,5.2997
